English,French,Chinese,Pingying,Spanish,German
you,tu,你,nǐ,usted,sie
i,je,一世,yī shì,i,ich
to,à,到,dào,para,zu
the,les,这,zhè,los,das
and,et,和,hé,y,und
that,cette,那,nà,ese,das
of,de,的,de,de,von
me,moi,我,wǒ,me,mich
in,dans,在,zài,en,in
this,cette,这个,zhè gè,esta,dies
for,pour,为了,wèi le,por,zum
no,non,不,bù,no,nein
have,ont,有,yǒu,tengo,verfügen über
my,ma,我的,wǒ de,mi,mein
just,seulement,只是,zhǐ shì,solo,nur
not,ne pas,不是,bù shì,no,nicht
do,faire,做,zuo,hacer,tun
be,être,是,shì,ser,sein
on,au,在,zài,sobre,an
your,ton,您的,nín de,tu,ihre
was,était,曾是,céng shì,era,war
we,nous,我们,wǒ men,nosotros,wir
with,avec,和,hé,con,mit
but,mais,但,dàn,pero,aber
all,tous,全部,quán bù,todos,alle
well,bien,好,hǎo,bien,gut
he,il,他,tā,él,er
about,à propos,关于,guān yú,sobre,über
right,droit,对,duì,derecha,rechts
get,avoir,得到,dé dào,obtener,werden
here,ici,这里,zhè lǐ,aquí,hier
out,dehors,出去,chū qù,fuera,aus
if,si,如果,rú guǒ,si,wenn
her,sa,她,tā,ella,sie
she,elle,她,tā,ella,sie
can,pouvez,能够,néng gòu,pueden,kann
up,en haut,向上,xiàng shàng,hasta,hoch
want,vouloir,想,xiǎng,querer,wollen
now,maintenant,现在,xiàn zài,ahora,jetzt
go,aller,走,zǒu,ir,gehen
him,lui,他,tā,él,ihm
there,là,那里,nà lǐ,allí,dort
one,une,一,yī,uno,einer
why,pourquoi,为什么,wèi shí yāo,por qué,warum
see,voir,看,kàn,ver,sehen
come,venir,来,lái,venir,kommen sie
good,bon,好的,hǎo de,bien,gut
they,elles ou ils,他们,tā men,ellos,sie
really,vraiment,真的,zhēn de,de verdad,ja wirklich
when,lorsque,什么时候,shí yāo shí hòu,cuando,wenn
back,arrière,背部,bèi bù,espalda,zurück
from,de,从,cóng,de,von
were,étaient,是,shì,fueron,wurden
yes,oui,是的,shì de,sí,jawohl
his,le sien,他的,tā de,su,seine
or,ou,或者,huo zhě,o,oder
who,qui,who,who,oms,wer
because,car,因为,yīn wèi,porque,da
some,certains,一些,yī xiē,algunos,etwas
then,alors,然后,rán hòu,luego,dann
say,dire,说,shuō,decir,sagen
an,un,一个,yī gè,un,ein
way,manière,道路,dào lù,camino,weg
us,nous,我们,wǒ men,nosotros,uns
little,peu,小的,xiǎo de,poco,wenig
never,jamais,绝不,jué bù,nunca,noch nie
too,trop,也,yě,también,auch
sure,bien sur,当然,dāng rán,seguro,sicher
more,suite,更多的,gèng duō de,más,mehr
over,plus de,超过,chāo guo,sobre,über
our,notre,我们的,wǒ men de,nuestro,unsere
sorry,pardon,对不起,duì bù qǐ,perdón,verzeihung
where,où,在哪里,zài nǎ lǐ,dónde,wo
let,laisser,让,ràng,dejar,lassen
maybe,peut être,也许,yě xǔ,quizás,kann sein
down,vers le bas,下,xià,abajo,nieder
man,homme,男人,nán rén,hombre,mann
very,très,非常,fēi cháng,muy,sehr
by,par,经过,jīng guo,por,von
anything,n'importe quoi,任何事物,rèn hé shì wù,cualquier cosa,irgendetwas
much,beaucoup,很多,hěn duō,mucho,viel
any,tout,任何,rèn hé,alguna,irgendein
life,la vie,生活,shēng huó,vida,leben
even,même,甚至,shén zhì,incluso,sogar
off,désactivé,离开,chī kāi,apagado,aus
please,s'il te plaît,请,qǐng,por favor,bitte
thank,remercier,谢谢,xiè xiè,gracias,danken
only,seul,只要,zhǐ yào,solamente,nur
help,aider,帮助,bāng zhù,ayuda,hilfe
two,deux,二,èr,dos,zwei
talk,parlez,讲话,jiǎng huà,hablar,sprechen
people,personnes,人们,rén men,gente,personen
god,dieu,上帝,shàng dì,dios,gott
still,toujours,仍然,réng rán,todavía,still
wait,attendre,等待,děng dài,espere,warten
into,dans,进入,jìn rù,dentro,hinein
find,trouve,找,zhǎo,encontrar,finden
again,de nouveau,再次,zài cì,de nuevo,wieder
thing,chose,事物,shì wù,cosa,ding
call,appel,称呼,chēng hū,llama,anruf
told,raconté,告诉,gào sù,dicho,erzählt
great,super,伟大的,wěi dà de,estupendo,groß
before,avant,前,qián,antes de,vor
better,meilleur,更好的,gèng hǎo de,mejor,besser
ever,déjà,曾经,céng jīng,siempre,je
night,nuit,夜晚,yè wǎn,noche,nacht
than,que,比,bǐ,que,als
away,une façon,离开,chī kāi,lejos,ein weg
first,premier,第一的,dì yī de,primero,erste
believe,croire,相信,xiāng xìn,creer,glauben
fine,amende,美好的,měi hǎo de,multa,fein
home,domicile,家,jiā,hogar,heimat
after,après,后,hòu,después,nach
last,dernier,最后的,zuì hòu de,último,letzte
these,ces,这些,zhè xiē,estas,diese
put,mettre,放,fàng,poner,stellen
around,environ,大约,dà yuē,alrededor,um herum
stop,arrêter,停止,tíng zhǐ,parada,halt
long,longue,长,cháng,largo,lang
always,toujours,总是,zǒng shì,siempre,immer
listen,ecoutez,听,tīng,escucha,hören
those,celles,那些,nà xiē,aquellos,jene
big,gros,大,dà,grande,groß
lot,parcelle,很多,hěn duō,lote,menge
kind,type,种类,chóng lèi,amable,nett
wrong,tort,错误的,cuo wù de,incorrecto,falsch
through,par,通过,tōng guo,mediante,durch
new,nouveau,新的,xīn de,nuevo,neu
guess,deviner,猜测,cāi cè,adivinar,vermuten
care,se soucier,关心,guān xīn,cuidado,pflege
bad,mauvais,坏的,pī de,malo,schlecht
mom,maman,妈妈,mā mā,mamá,mama
remember,rappelles toi,记住,jì zhù,recordar,erinnern
together,ensemble,一起,yī qǐ,juntos,zusammen
dad,père,爸爸,bà bà,padre,vati
leave,laisser,离开,chī kāi,dejar,verlassen
mother,mère,母亲,mǔ qīn,madre,mutter
place,endroit,地方,dì fāng,lugar,platz
understand,comprendre,理解,lǐ jiě,comprender,verstehen
actually,en fait,实际上,shí jì shàng,realmente,genau genommen
hear,écouter,听到,tīng dào,escuchar,hören
baby,bébé,婴儿,yīng ér,bebé,baby
nice,joli,好的,hǎo de,bonito,nett
father,père,父亲,fù qīn,padre,vater
else,autre,别的,bié de,demás,anders
stay,rester,停留,tíng liú,quédate,bleibe
their,leur,他们的,tā men de,su,ihr
course,cours,课程,kè chéng,curso,kurs
might,force,可能,kě néng,podría,macht
mind,dérange,头脑,tóu nǎo,mente,verstand
every,tous,每一个,měi yī gè,cada,jeden
enough,assez,足够的,zú gòu de,suficiente,genug
try,essayer,尝试,cháng shì,tratar,versuchen
hell,l'enfer,地狱,dì yù,infierno,hölle
came,venu,来了,lái le,llegó,kam
someone,quelqu'un,某人,mǒu rén,alguien,jemand
own,posséder,自己的,zì jǐ de,propio,besitzen
family,famille,家庭,jiā tíng,familia,familie
whole,entier,所有的,suǒ yǒu de,entero,ganz
another,un autre,其他,qí tā,otro,ein weiterer
house,loger,房子,fáng zǐ,casa,haus
yourself,toi-même,你自己,nǐ zì jǐ,tú mismo,du selbst
idea,idée,主意,zhǔ yì,idea,idee
ask,interroger,问,wèn,pedir,fragen
best,meilleur,最好的事物,zuì hǎo de shì wù,mejor,beste
must,doit,必须,bì xū,debe,muss
old,vieille,老的,lǎo de,viejo,alt
woman,femme,女士,nǚ shì,mujer,frau
hello,bonjour,你好,nǐ hǎo,hola,hallo
which,lequel,哪一个,nǎ yī gè,cuales,welcher
room,pièce,房间,fáng jiān,habitación,zimmer
money,de l'argent,钱,qián,dinero,geld
left,la gauche,剩下,shèng xià,izquierda,links
tonight,ce soir,今晚,jīn wǎn,esta noche,heute abend
real,réel,真实的,zhēn shí de,verdadero,real
son,fils,儿子,ér zǐ,hijo,sohn
hope,espérer,希望,xī wàng,esperar,hoffnung
name,nom,姓名,xìng míng,nombre,name
same,même,相同的,xiāng tóng de,mismo,gleich
happy,heureux,快乐的,kuài yuè de,contento,glücklich
pretty,joli,漂亮,piāo liàng,lindo,ziemlich
girl,fille,女孩,nǚ hái,muchacha,mädchen
sir,monsieur,先生,xiān shēng,señor,herr
show,spectacle,展示,zhǎn shì,show,zeigen
already,déjà,已经,yǐ jīng,ya,schon
may,peut,可能,kě néng,mayo,können
next,suivant,下一个,xià yī gè,siguiente,nächste
three,trois,三,sān,tres,drei
found,trouvé,成立,chéng lì,fundar,gefunden
world,monde,世界,shì jiè,mundo,welt
honey,mon chéri,蜂蜜,fēng mì,miel,honig
myself,moi même,我,wǒ,yo mismo,mich selber
exactly,exactement,确切地,què qiē dì,exactamente,exakt
probably,probablement,大概,dà gài,probablemente,wahrscheinlich
hurt,blesser,伤害,shāng hài,herir,verletzt
both,les deux,两个都,liǎng gè dū,ambos,beide
while,tandis que,尽管,jǐn guǎn,tiempo,während
dead,morte,死的,sǐ de,muerto,tot
alone,seul,独自的,dú zì de,solo,allein
since,puisque,自从,zì cóng,ya que,schon seit
excuse,excuse,借口,jiè kǒu,excusa,entschuldigung
start,début,开始,kāi shǐ,comienzo,anfang
kill,tuer,杀,shā,matar,töten
hard,dur,难的,nán de,duro,schwer
today,aujourd'hui,今天,jīn tiān,hoy dia,heute
car,auto,车,chē,coche,wagen
ready,prêt,准备好,zhǔn bèi hǎo,listo,bereit
until,jusqu'à,直到,zhí dào,hasta que,bis um
without,sans pour autant,没有,méi yǒu,sin,ohne
whatever,peu importe,任何,rèn hé,lo que,wie auch immer
deal,accord,交易,jiāo yì,trato,austeilen
took,a pris,拿,ná,tomó,nahm
once,une fois que,一次,yī cì,una vez,wenn
friend,ami,朋友,péng yǒu,amigo,freund
head,diriger,头,tóu,cabeza,kopf
stuff,truc,东西,dōng xī,cosas,sachen
most,plus,最多,zuì duō,la mayoría,die meisten
worry,s'inquiéter,担心,dàn xīn,preocuparse,sorge
second,seconde,第二,dì èr,segundo,sekunde
part,partie,部分,bù fēn,parte,teil
truth,vérité,真相,zhēn xiāng,verdad,wahrheit
school,l'école,学校,xué xiào,colegio,schule
face,visage,脸,liǎn,cara,gesicht
forget,oubliez,忘记,wàng jì,olvidar,vergessen
business,entreprise,商业,shāng yè,negocio,unternehmen
each,chaque,每个,měi gè,cada,jede einzelne
cause,causer,原因,yuán yīn,porque,ursache
soon,bientôt,很快,hěn kuài,pronto,demnächst
wife,épouse,妻子,qī zǐ,esposa,ehefrau
use,utilisation,用,yòng,usar,verwenden
chance,chance,机会,jī huì,oportunidad,chance
run,cours,跑,pǎo,correr,lauf
move,mouvement,移动,yí dòng,moverse,bewegung
anyone,n'importe qui,任何人,rèn hé rén,alguien,jeder
person,personne,人,rén,persona,person
bye,au revoir,再见,zài jiàn,adiós,wiedersehen
somebody,quelqu'un,某人,mǒu rén,alguien,jemand
heart,cœur,心,xīn,corazón,herz
such,tel,这样的,zhè yáng de,tal,eine solche
point,point,观点,guān diǎn,punto,punkt
later,plus tard,之后,zhī hòu,más tarde,später
meet,rencontrer,遇见,yù jiàn,encontrarse,treffen
anyway,de toute façon,反正,fǎn zhèng,de todas formas,ohnehin
phone,téléphone,电话,diàn huà,teléfono,telefon
reason,raison,原因,yuán yīn,razón,grund
lost,perdu,丢失,diū shī,perdió,hat verloren
look,voir,看,kàn,mira,aussehen
bring,apporter,带来,dài lái,traer,bringen
case,cas,案件,àn jiàn,caso,fall
wish,souhaiter,希望,xī wàng,deseo,wunsch
tomorrow,demain,明天,míng tiān,mañana,morgen
trust,confiance,相信,xiāng xìn,confianza,vertrauen
check,chèque,查看,chá kàn,cheque,prüfen
end,finir,结尾,jié wěi,fin,ende
late,en retard,晚了,wǎn le,tarde,spät
anymore,plus,不再,bù zài,ya no,nicht mehr
five,cinq,五,wǔ,cinco,fünf
least,moins,至少,zhì shǎo,menos,am wenigsten
town,ville,镇,zhèn,ciudad,stadt
year,année,年,nián,año,jahr
make,fabriquer,制作,zhì zuo,hacer,machen
