Chinese,French
鼓励,encouragement
来了,venu
宽度,largeur
扁桃体,amygdale
满足,suffire
少数,poignée
独自的,seul
虚拟的,virtuel
呻吟,gémissement
持票人,porteur
成套工具,trousse
过去的,passé
审美的,esthétique
令人惊讶的是,incroyablement
看待,qui concerne
体育运动,sportif
哼,Hum
寄售,consignation
不,Nan
不尊重,manque de respect
城堡,château
无数,innombrable
经济衰退,récession
显然,Apparemment
巨型,géant
需要,avoir besoin
拉链,fermeture éclair
实施,mettre en place
全体人员,équipage
百分比,pourcentage
宠儿,chéri
高脚杯,gobelet
修改,modifiant
银行业,bancaire
奖金,prime
ch,type
老年,âgé
边界,bondir
睫毛,fouetter
实际的,réel
考虑,considération
苗条的,maigrir
沦,périr
嚼,mâcher
苦的,amer
最近,dernièrement
皱折,basané
流氓,voyou
容易,responsable
混乱的,désorganisé
有能力的,capable
横卧,incliner
饭,corde
搬家,fugace
取回,récupérer
睡觉,dormir
鼻子,nasale
大概,Probablement
礼貌,courtoisie
租,bail
应该,devrait
化学家,chimiste
九月,septembre
时髦的,hanche
远程,à distance
震级,ordre de grandeur
出血,hémorragie
哀悼,condoléances
st,ranger
转动,tourner
大使馆,ambassade
太阳,soleil
出现,apparaître
堵塞,bloquer
旅店,auberge
卫生,sanitaire
弯曲,courbé
紧急,urgent
菠萝,ananas
离题,digression
扶手椅,fauteuil
合同,Contrat
窥探,espionner
歧视,discrimination
接近,approchant
提名,désigner
接触,émouvant
sn,petite entaille
拉紧,souche
忠诚,fidélité
君主制,la monarchie
心痛,chagrin
卫生间,salle de repos
神学,théologique
复发,récurrent
显微镜,microscope
智力,intelligence
增加,augmenter
灯,lampe
咖啡屋,café
热心,ardent
骨,OS
罐,pot
苏格兰人,scotch
解决方案,Solution
恳求,supplier
领域,sphère
叉,traverser
实现,la concrétisation
立方体,cube
很多,lot
预期,anticipé
小屋,loge
不透明,opaque
犹太人,juif
招待,divertir
保姆,Baby-sitter
新生,étudiant de première année
公寓,appartement
双,double
ost,ostensible
意味着,connoter
cr,époux
架子,étagère
别墅,villa
尝试,essayer
依赖,dépendant
点火,allumage
神秘,mystérieux
恐龙,dinosaure
吸入,inhaler
亲切,cordial
胜利,triomphe
遗忘,oubli
悬坐,réticence
馅饼,tarte
光栅,grille
桶,tonnelet
生产,produire
定影,fixation
肮脏的,sale
脖子,cou
散文,essai
引人注目,frappant
肌肉,muscle
养老金领取者,retraité
执着的,persistant
地点,emplacement
困惑,dilemme
对,droit
返回,revenir
联系,associer
加仑,gallon
指定,spécifier
利基,niche
w,mauviette
女主人,hôtesse
退税,inconvénient
猫咪,minou
实现,remplir
肠断,navré
镰,faux
融合,la fusion
变得,devenir
化妆品,produits de beauté
在船上,à bord
先,devant
提交,nous faire parvenir
政治,régime politique
不安,agité
消化,digestif
驱逐,expulser
创建,création
基督教,Christian
从,de
残疾人料,handicapé
指挥官,le commandant
窥视,piquer
此外,en outre
沙锅,casserole
服务,service
内部的,interne
学徒,apprenti
采用,employer
汽车,auto
啼,croasser
形容词,adjectif
处理,manutention
东西,truc
偷偷,secrètement
瘫痪,paralysé
沉思,contempler
蔑视,mépris
荣耀,glorifier
冲浪,surfant
荒,ridicule
相似的,similaire
始终,tout au long de
卧室,chambre
频繁地,souvent
番茄酱,ketchup
中国,Chine
孩子,enfant
错误,Erreur
能见度,visibilité
放松,relaxant
疾病,maladie
斑点,tache
条款,disposition
跑,faire courir
g,gorgée
处理,traité
杂音,murmure
已感染,infecté
坦白说,franchement
否定,peser plus lourd que
剥蚀,corrompre
条约,traité
丰富,abondance
胆汁,bile
半烤,à moitié cuit
食物,nourriture
异议,objection
精力充沛,énergique
可怕,horrible
精神,spirituel
滑,glissant
宝贵的,précieux
盘子,assiette
